ImageName,Lat,Long,GEOID,MEDIAN_INCOME
Pittsburgh00182.png,40.4997370003,-80.0156089996,15000US420032612001,56691.0
Pittsburgh00316.png,40.4984370003,-80.0173089996,15000US420032612001,56691.0
Pittsburgh00317.png,40.4984370003,-80.0156089996,15000US420032612001,56691.0
Pittsburgh00318.png,40.4984370003,-80.0139089996,15000US420032612001,56691.0
Pittsburgh00319.png,40.4984370003,-80.0122089996,15000US420032612001,56691.0
Pittsburgh00320.png,40.4984370003,-80.0105089996,15000US420032612001,56691.0
Pittsburgh00450.png,40.4971370003,-80.0190089996,15000US420032602003,51563.0
Pittsburgh00451.png,40.4971370003,-80.0173089996,15000US420032602001,40577.0
Pittsburgh00452.png,40.4971370003,-80.0156089996,15000US420032602001,40577.0
Pittsburgh00453.png,40.4971370003,-80.0139089996,15000US420032612001,56691.0
Pittsburgh00454.png,40.4971370003,-80.0122089996,15000US420032612001,56691.0
Pittsburgh00455.png,40.4971370003,-80.0105089996,15000US420032612001,56691.0
Pittsburgh00456.png,40.4971370003,-80.0088089996,15000US420032612001,56691.0
Pittsburgh00457.png,40.4971370003,-80.0071089996,15000US420032612001,56691.0
Pittsburgh00458.png,40.4971370003,-80.0054089996,15000US420032612001,56691.0
Pittsburgh00580.png,40.4958370003,-80.0275089996,15000US420032602002,42102.0
Pittsburgh00581.png,40.4958370003,-80.0258089996,15000US420032602002,42102.0
Pittsburgh00585.png,40.4958370003,-80.0190089996,15000US420032602003,51563.0
Pittsburgh00586.png,40.4958370003,-80.0173089996,15000US420032602001,40577.0
Pittsburgh00587.png,40.4958370003,-80.0156089996,15000US420032602001,40577.0
Pittsburgh00588.png,40.4958370003,-80.0139089996,15000US420032602001,40577.0
Pittsburgh00589.png,40.4958370003,-80.0122089996,15000US420032602001,40577.0
Pittsburgh00590.png,40.4958370003,-80.0105089996,15000US420032612001,56691.0
Pittsburgh00591.png,40.4958370003,-80.0088089996,15000US420032612001,56691.0
Pittsburgh00592.png,40.4958370003,-80.0071089996,15000US420032612001,56691.0
Pittsburgh00593.png,40.4958370003,-80.0054089996,15000US420032612001,56691.0
Pittsburgh00715.png,40.4945370003,-80.0275089996,15000US420032602002,42102.0
Pittsburgh00716.png,40.4945370003,-80.0258089996,15000US420032602002,42102.0
Pittsburgh00717.png,40.4945370003,-80.0241089996,15000US420032602002,42102.0
Pittsburgh00719.png,40.4945370003,-80.0207089996,15000US420032602003,51563.0
Pittsburgh00720.png,40.4945370003,-80.0190089996,15000US420032602003,51563.0
Pittsburgh00721.png,40.4945370003,-80.0173089996,15000US420032602003,51563.0
Pittsburgh00722.png,40.4945370003,-80.0156089996,15000US420032602001,40577.0
Pittsburgh00723.png,40.4945370003,-80.0139089996,15000US420032602001,40577.0
Pittsburgh00724.png,40.4945370003,-80.0122089996,15000US420032602001,40577.0
Pittsburgh00725.png,40.4945370003,-80.0105089996,15000US420032612001,56691.0
Pittsburgh00726.png,40.4945370003,-80.0088089996,15000US420032612001,56691.0
Pittsburgh00727.png,40.4945370003,-80.0071089996,15000US420032612001,56691.0
Pittsburgh00728.png,40.4945370003,-80.0054089996,15000US420032612001,56691.0
Pittsburgh00850.png,40.4932370003,-80.0275089996,15000US420032602002,42102.0
Pittsburgh00851.png,40.4932370003,-80.0258089996,15000US420032602002,42102.0
Pittsburgh00852.png,40.4932370003,-80.0241089996,15000US420032602002,42102.0
Pittsburgh00853.png,40.4932370003,-80.0224089996,15000US420032602002,42102.0
Pittsburgh00854.png,40.4932370003,-80.0207089996,15000US420032602003,51563.0
Pittsburgh00855.png,40.4932370003,-80.0190089996,15000US420032602003,51563.0
Pittsburgh00856.png,40.4932370003,-80.0173089996,15000US420032602003,51563.0
Pittsburgh00857.png,40.4932370003,-80.0156089996,15000US420032602001,40577.0
Pittsburgh00858.png,40.4932370003,-80.0139089996,15000US420032602001,40577.0
Pittsburgh00859.png,40.4932370003,-80.0122089996,15000US420032602001,40577.0
Pittsburgh00860.png,40.4932370003,-80.0105089996,15000US420032602001,40577.0
Pittsburgh00861.png,40.4932370003,-80.0088089996,15000US420032612001,56691.0
Pittsburgh00862.png,40.4932370003,-80.0071089996,15000US420032612001,56691.0
Pittsburgh00863.png,40.4932370003,-80.0054089996,15000US420032612001,56691.0
Pittsburgh00985.png,40.4919370003,-80.0275089996,15000US420032602002,42102.0
Pittsburgh00986.png,40.4919370003,-80.0258089996,15000US420032602002,42102.0
Pittsburgh00987.png,40.4919370003,-80.0241089996,15000US420032602002,42102.0
Pittsburgh00988.png,40.4919370003,-80.0224089996,15000US420032602002,42102.0
Pittsburgh00989.png,40.4919370003,-80.0207089996,15000US420032602003,51563.0
Pittsburgh00990.png,40.4919370003,-80.0190089996,15000US420032602003,51563.0
Pittsburgh00991.png,40.4919370003,-80.0173089996,15000US420032602003,51563.0
Pittsburgh00992.png,40.4919370003,-80.0156089996,15000US420032602001,40577.0
Pittsburgh00993.png,40.4919370003,-80.0139089996,15000US420032602001,40577.0
Pittsburgh00994.png,40.4919370003,-80.0122089996,15000US420032602001,40577.0
Pittsburgh00995.png,40.4919370003,-80.0105089996,15000US420032602001,40577.0
Pittsburgh00996.png,40.4919370003,-80.0088089996,15000US420032612001,56691.0
Pittsburgh00997.png,40.4919370003,-80.0071089996,15000US420032612001,56691.0
Pittsburgh00998.png,40.4919370003,-80.0054089996,15000US420032612001,56691.0
Pittsburgh01062.png,40.4919370003,-79.8966089996,15000US420039800001,106477.0
Pittsburgh01063.png,40.4919370003,-79.8949089996,15000US420039800001,106477.0
Pittsburgh01064.png,40.4919370003,-79.8932089996,15000US420039800001,106477.0
Pittsburgh01112.png,40.4906370003,-80.0411089996,15000US420032708001,62727.0
Pittsburgh01113.png,40.4906370003,-80.0394089996,15000US420032708001,62727.0
Pittsburgh01115.png,40.4906370003,-80.0360089996,15000US420032708001,62727.0
Pittsburgh01116.png,40.4906370003,-80.0343089996,15000US420032708003,75898.0
Pittsburgh01117.png,40.4906370003,-80.0326089996,15000US420032708003,75898.0
Pittsburgh01118.png,40.4906370003,-80.0309089996,15000US420032708003,75898.0
Pittsburgh01119.png,40.4906370003,-80.0292089996,15000US420032708003,75898.0
Pittsburgh01120.png,40.4906370003,-80.0275089996,15000US420032602002,42102.0
Pittsburgh01121.png,40.4906370003,-80.0258089996,15000US420032602002,42102.0
Pittsburgh01122.png,40.4906370003,-80.0241089996,15000US420032602002,42102.0
Pittsburgh01123.png,40.4906370003,-80.0224089996,15000US420032602002,42102.0
Pittsburgh01124.png,40.4906370003,-80.0207089996,15000US420032602002,42102.0
Pittsburgh01125.png,40.4906370003,-80.0190089996,15000US420032602003,51563.0
Pittsburgh01126.png,40.4906370003,-80.0173089996,15000US420032602003,51563.0
Pittsburgh01127.png,40.4906370003,-80.0156089996,15000US420032602001,40577.0
Pittsburgh01128.png,40.4906370003,-80.0139089996,15000US420032602001,40577.0
Pittsburgh01129.png,40.4906370003,-80.0122089996,15000US420032602001,40577.0
Pittsburgh01130.png,40.4906370003,-80.0105089996,15000US420032602001,40577.0
Pittsburgh01131.png,40.4906370003,-80.0088089996,15000US420032612001,56691.0
Pittsburgh01132.png,40.4906370003,-80.0071089996,15000US420032612001,56691.0
Pittsburgh01133.png,40.4906370003,-80.0054089996,15000US420032612001,56691.0
Pittsburgh01134.png,40.4906370003,-80.0037089996,15000US420032612001,56691.0
Pittsburgh01172.png,40.4906370003,-79.9391089996,15000US420031011002,35781.0
Pittsburgh01173.png,40.4906370003,-79.9374089996,15000US420031014001,42813.0
